Algorithm,Mean HV200,Std HV200,Mean HV400,Std HV400,Mean HVdyn,Std HVdyn,Mean IGDX,Std IGDX,Mean Sols,Std Sols,Mean regions found,All regions found (%),Balanced IGDX,Std Balanced IGDX,Balanced coverage@0.05,R1 count,R1 IGDX,R1 cov@0.05,R2 count,R2 IGDX,R2 cov@0.05,R3 count,R3 IGDX,R3 cov@0.05
PSO-DN,1557028944.4427478,5250900.875327834,25357117303.081398,40716017.25658592,3769096.1189637007,90203.57346058624,0.7623809886767118,0.3443148524534724,724.2666666666667,213.4411602500532,2.933333333333333,93.33333333333333,0.83156095619219,0.6481908560973751,0.023415379159384138,16.933333333333334,0.8536969391154654,0.043678160919540236,57.93333333333333,0.8876009502996075,0.013148851510218846,602.8,0.753384979161497,0.013419125048393342
MOPSO-CD,1556563809.0973527,3957817.3616385027,25345786159.47379,33953556.38483141,3831074.7471744516,25565.37587231875,0.5505913248359293,0.30092932653209153,2710.5333333333333,400.0263102458249,2.8666666666666667,86.66666666666667,1.4500306919188362,2.2385750732764484,0.02735275854499158,2.6333333333333333,3.347714253840283,0.0033806626098715348,47.56666666666667,0.45827609505794903,0.015359920419605717,2658.766666666667,0.5441017268582758,0.06331769260549748
NSGA-II,1564141428.892031,1076921.1970979834,25405850881.56986,9672954.835376319,3898621.4499007803,4716.946242938927,0.35672142455586825,0.3540629194827437,1525.2333333333333,64.23170729649199,2.966666666666667,96.66666666666667,0.5976843386068995,1.8690606523004003,0.04876073277611337,29.566666666666666,0.16736113133787006,0.08640973630831644,81.0,1.3351203414775379,0.027893832519442937,1411.1,0.2905715430052909,0.031978629500580724
NSGA-III,1563462534.0329332,1394677.9026469577,25399268888.231533,12917739.939016405,3897791.983768503,6247.082617783942,0.25124334925025144,0.034928477531603365,2178.4,91.30228182617708,2.8333333333333335,83.33333333333334,1.5227785226477841,2.8078295250694962,0.04026182545450192,13.4,4.078201192508684,0.03576741041244083,122.36666666666666,0.2568019642864888,0.040427744619280157,2041.5,0.2333324111481785,0.04459032133178475
